product_id,product_name,actual_price,percent_discount
114,"STONEGO  Metal Pry Bar Tool Set - Electronics Repair Kit for Mobile Phones, Tablets, Laptops, and Smart Watches ",222.48,46
115,10PCS Between Light And Shadow Stickers Poster Card Laptop Decoration Luggage Landscape Gift Kraft Paper Wall Room Bar Decor ,207.27,69
116,PD 240W USB C Fast Charge Adapter USB 4.0 Quick Transmission 40Gbps USB C Extension Adapter Smart Chip For iphone Tablet Laptop ,43.53,27
117,4 Pcs Laptop Rubber Feet For Dell E7440 E7240 E7250 E7450 E7270 E7470 Foot Pad Non-slip Rubber Feet Replacement ,18.04,0
118,Car Sticker with Autism Alert Responders and Autism Awareness Love Puzzle Piece Car Laptop Helmet Trunk Wall Decal. ,22.16,0
119,10/30/50PCS Hemp Leaf Stickers Laptop Skateboard Guitar Luggage DIY Bike Cool Waterproof Graffiti Sticker Decal Kid Classic Toys ,63,37
120,2in1 Cleaning Brush Computer Monitor Keyboard Cleaner with Screen Wipe Retractable Double Head Laptop Phone Screen Dust Remover ,18.84,0
121,USB Light LED Reading Lamp Mini Book Light Portable Camping Night Lights Table Lamps For Power Bank Laptop Computer PC Notebook ,14.11,0
122,1/2/3/6/8Pcs Webcam Cover Laptop Camera Cover Phone Antispy For Macbook Tablet Privacy Physical Protection Lens Sticker ,10.77,0
123,10/ 20/ 50pcs Black 304 Stainless Steel Cross Phillips Ultra Thin Flat Wafer Head Screw CM M1.6 M2 M2.5 M3 M4 M5 M6 for Laptop ,32.57,43
124,Car Sticker OFF-Road Auto Sticker and Decals Styling Engine Hood Motorcycle Laptop Decal Decor Mural Vinyl Covers Car-Styling ,15.04,0
125,PC Soundbar Wired and Wireless Bluetooth Speaker USB Powered Soundbar for TV Pc Laptop Gaming Home Theater Surround Audio System ,601,50
126,2in1 Screen Cleaner Spray Bottle with Microfiber Cell Phone Laptop Tablet Screen Cleaning Wipe Press Spray Bottle Without Liquid ,23.29,0
127,Shockproof Notebook Computer Cover Pouch 11 13 14 15 inch Laptop Bag Sleeve Case For Xiaomi HP Dell Lenovo ,319.16,53
128,Multi-used Car Steering Wheel Table Portable Car Laptop Computer Desk Mount Stand Seat Gap Filler Organizer Car accessory ,1473.64,68
129,"KLQDZMS 20""24"" Inch High-quality Front Opening Lid Trolley Suitcase Multifunctional Boarding Password Case with Laptop Luggage ",3973.36,39
130,200 Sheets/Box Disney Cartoon Pull Out Stickers Princess Frozen Mickey Mouse Minnie Sticker Girl Boy Teacher Reward Toys Gift ,50.97,0
131,"32-in-1 Keyboard Cleaning Kit Laptop Phone Cleaner Cleaning Tool, Multi-Function Cleaner for iPad iPhone Pro, Earbuds, iPad ",599.17,68
132,Surround Sound Bar Wired Computer Speakers Stereo Subwoofer Soundbar for Desktop Laptop PC TV Mini Speaker Home Theater System ,601,54
133,New For Dell Latitude 3540 E3540 LCD Back Cover 03JW02/Front Bezel/Keyboard Palmrest Upper 0DVROW/Laptop Bottom Cover Case ,965.48,10
134,Laptop Keyboard Dust Brush Phone Computer Screen Cleaner Tool Multifunction Cleaning Brush for Car Interior Dashboard Home Desk ,14.57,0
135,RYRA Mouse Pad EVA Wristband Gaming Mouse Pad Solid Color Mice Mat Comfortable Environmental Protection Mouse Pad For PC Laptop ,13.62,0
136,10pcs Microfiber Cleaning Cloth Computer TV Camera Lens Mobile Phone Screen Glasses Cleaning Wipe Laptop Pad Tablet Cleaning Kit ,28.18,36
137,5/1pcs Silicone Data Cable Organizer Cellphone Charger Cable Power Cord Management for Laptop Tablet Earbuds Mouse Wire Wrap Tie ,5.38,0
138,Keyboard Cleaning Kit 7 in 1 Laptops Cleaner with Keycap Puller Multifunctional Brush Cleaning Set for Tablet Phone Airpods ,14.72,0
139,USB 3.0 Card Reader SD TF card Memory Card Reading Adapter High Speed 2 IN 1 Card Reader For Phone PC Laptop Accessories ∪disk ,37.52,27
140,10PCS/Kit Computer Keyboard Cleaning Brush Multifunction Universal Clean Tool Set For Laptop PC Macbook Notebook Phones ,28.02,0
141,Car Stickers Celtic Norse Viking Vegvisir Compass Navigation Nordic Pagan Galdrastav Valhalla Valknut Runic Laptop Decals Decor ,22.15,0
142,20 in 1/7 in1/  Digital Camera Headset Mobile Phone Laptop Keyboard Cleaning Tool Set Cleaning Brush Clean Pen For Airpods Pro ,238.3,54
143,50PCS Bungo Stray Dogs Anime Stickers Suitcase Water Cup Stationery Mobile Phone Car Scooter Laptop Decorative Stickers ,19.76,34
144,New Keyboard Mouse Pc Laptop Wristband Mouse Pad With Wrist Protect Notebook Environmental Protection EVA Wristband Mouse Pad ,16.31,0
145,PC Soundbar Wired and Wireless Bluetooth Speaker USB Powered Soundbar for TV Pc Laptop Gaming Home Theater Surround Audio System ,615.62,58
146,Portable Mini Selfie Fill Light LED Video Light Cube Laptop Computer Webcam Light Video Conference LED Fill Light For Live ,48.28,0
147,Notebook 15.6 inch Laptop Windows 11 10 Pro 1920*1080 Cheap Portable Intel Laptop D4 16G RAM 128GB/256GB/512GB/1TB SSD HDMI Port ,6153.79,55
148,Computer Game Mouse Pad Environmental Eva Ergonomic Mouse Pad Wrist Pad Solid Color Comfortable Mouse Pad For Office PC Laptop ,40.69,0
149,12.7mm USB 3.0 Type C External DVD Drive CD-ROM Player Drive Burner Reader Optical Drives Enclosure Case for PC Laptop Desktop ,569.4,64
150,"Arabic Palestine Map Vinyl Art Sticker Car Window Door Decor, Arabic Calligraphy Laptop Decals for MacBook Pro/Air Decoration ",15.04,0
151,3 Pcs Ultra-Thin Metal Web Camera Slide Cover For iPhone MacBook iMac Laptop PC iPad Pro Privacy Sticker ,38.65,11
152,10/30/50pcs Pink cartoon graffiti Pink Bookish Stickers Decals Decoration DIY Skateboard Notebook Phone Laptop car stickers ,203.4,85
153,PC Soundbar Wired and Wireless Bluetooth Speaker USB Powered Soundbar for TV Pc Laptop Gaming Home Theater Surround Audio System ,601,54
154,Mini USB Fan Flexible Bendable Fan For Power Bank Laptop PC AC Charger Portable Hand Fan For Computer Summer Gadget ,128.44,52
155,NEW Small Fan Plug And Play Creative Mini Student Dormitory Usb For Power Bank Laptop Pc Ac Charger Cooling Tools Office Fan 1pc ,30.07,0
156,1pc Laptop Rubber Strip For For Dell/Lenovo/Asus/HP Bottom Case Foot Pad Surface Laptop Rubber Foot PC Accessories ,15.68,0
157,10/30/56pcs cartoon Magic Digital Circus Stickers For Suitcase Skateboard Laptop Luggage Phone Car Styling DIY Decal Pegatinas ,203.4,85
158,2024 New 4TB SSD Sata Hard Drive Disk Sata3 2.5 Inch 2TB 1TB 560MB/S High Speed Hard Disk Internal Solid State Drives For Laptop ,1317.6,65
159,USB Keyboard Cleaner PC Laptop Cleaner Computer Vacuum Cleaning Gadgets ,20.58,0
160,50pcs Doraemon Cartoon Cute Sticker Water Cup Laptop Luggage Desktop Stationery Skateboard Guitar Waterproof Decorative Sticker ,25.84,36
161,Wireless Bluetooth Audio Mobile Phone Computer Laptop Subwoofer Mini Card BT01 Small Speaker Outdoor Portable Creative Gifts ,179.3,50
162,500pcs Cute Cartoon Demon Slayer Anime Stickers Decoration for Laptop Phone Suitcase Notebook Label Stationery Sticker Kids Toys ,113.02,45
163,PC Soundbar Wired and Wireless Bluetooth Speaker USB Powered Soundbar for TV Pc Laptop Gaming Home Theater Surround Audio System ,598.47,54
164,50Pcs Sanrio Pom Pom Purin Stickers Cartoon Sanrio Sticker for Scrapbooking Laptop Suitcase Waterproof Sticker Decal Kid Toy ,42.47,36
