sales_id,quantity_sold,discounted_price,amount_saved,shipping_fee
317,0,37055.1,2304.86,2304.86
318,0,27671.01,2703.62,2703.62
319,1,24342.42,1139.29,1139.29
320,0,30906.37,1139.29,1139.29
321,0,4592.47,4779.9,0.0
322,0,4543.08,4728.45,0.0
323,0,3349.65,3486.26,0.0
324,78,9.82,0.0,0.0
325,458,5.51,0.0,0.0
326,61,29.19,0.0,166.55
327,406,48.48,0.0,0.0
328,47,88.49,0.0,82.16
329,201,19.63,4.12,79.63
330,0,51.5,0.0,0.0
331,80,207.13,138.09,0.0
332,34,189.96,0.0,0.0
333,85,16.46,9.18,5.7
334,0,26.81,31.47,2.28
335,34,571.78,93.08,78.83
336,38,201.75,0.0,63.29
337,23,164.63,0.0,56.04
338,29,593.63,141.68,141.68
339,39,30.07,0.0,56.83
340,353,28.02,0.0,5.7
341,26,150.07,55.56,0.0
342,58,18.21,0.0,0.0
343,192,11.4,0.0,0.0
344,20,250.43,102.26,0.0
345,26,26.91,0.0,0.0
346,47,11.71,7.44,0.0
347,121,53.78,0.0,1.72
348,30,31.5,0.0,0.0
349,117,58.25,0.0,0.0
350,251,236.22,0.0,0.0
351,295,36.41,4.43,0.0
352,39,1467.51,0.0,0.0
353,0,257.84,328.13,0.0
354,22,299.19,0.0,0.0
355,61,56.99,0.0,0.0
356,52,66.49,91.81,0.0
357,0,52.08,54.23,0.0
358,26,145.0,38.47,0.0
359,56,207.81,170.03,0.0
360,80,905.47,980.92,0.0
361,28,44.8,14.09,0.0
362,25,15.67,11.87,41.0
363,112,505.61,593.54,0.0
364,35,95.46,99.41,437.23
365,138,26.12,23.27,53.35
366,0,35.62,42.27,42.27
367,31,41.79,38.47,184.26
368,34,98.33,0.0,63.29
369,52,538.22,94.98,220.35
370,111,215.75,437.99,0.0
371,25,55.43,117.75,0.0
372,27,76.46,0.0,0.0
373,109,406.89,0.0,0.0
374,70,175.71,143.9,0.0
375,30,4.91,0.0,0.0
376,132,42.27,5.22,0.0
377,36,274.88,0.0,0.0
378,30,37.67,0.0,0.0
379,24,463.85,0.0,0.0
380,58,495.17,0.0,0.0
381,74,752.48,0.0,0.0
382,87,230.96,57.78,0.0
383,32,107.65,112.03,0.0
384,21,528.57,550.14,0.0
385,86,178.39,218.03,0.0
386,20,98.95,267.48,0.0
387,66,330.23,420.32,0.0
388,23,611.04,0.0,0.0
389,92,88.97,0.0,0.0
390,24,446.18,483.34,0.0
391,129,212.1,0.0,0.0
392,71,60.63,123.06,0.0
393,21,280.76,0.0,182.78
394,0,72.13,84.7,0.0
395,39,630.34,985.92,160.52
396,41,40.69,61.64,61.64
397,39,239.51,281.3,191.7
398,25,61.73,0.0,56.83
399,78,296.02,52.24,220.35
400,86,38.94,0.0,320.88
401,24,517.01,301.56,301.56
402,20,196.77,240.52,0.0
403,72,155.13,26.59,26.59
404,21,118.73,93.24,93.24
405,0,156.15,36.44,36.44
406,27,45.21,71.48,71.48
407,24,150.07,55.56,0.0
408,29,379.92,0.0,0.0
409,51,26.76,0.0,56.83
410,28,808.13,0.0,21.69
411,117,26.28,66.01,66.01
412,100,759.53,0.0,0.0
413,23,235.87,0.0,0.0
414,32,370.27,0.0,0.0
415,20,1352.52,0.0,0.0
